0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,,,,
0.4,Sound,ding,,,,,,,
0,HeartMode,0,,,,
0,GasterBlaster,1,0,0,191,246,0,0.3,8
0,GasterBlaster,1,0,0,259,166,90,0.3,8
0,GasterBlaster,1,0,0,449,366,180,0.3,8
0,GasterBlaster,1,0,0,379,446,270,0.3,8
0.9,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,
0.3,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,
0.3,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,
0.3,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,
0.3,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,
0.3,BoneStab,1,80,0.4,0.1,
0.3,BoneStab,0,80,0.4,0.1,
0.3,BoneStab,3,80,0.4,0.1,
0.3,BoneStab,2,80,0.4,0.1,

3,EndAttack,,,,,,,,
