0,CombatZoneResize,103,251,538,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneStab,3,55,0,20.5,,,,
0,BoneStab,1,15,2,18.5,,,,
0,PlatformRepeat,-20,370,30,0,80,79,80
0.6,BoneVRepeat,78,350,20,0,80,80,80
0,BoneVRepeat,78,310,20,0,80,80,80

1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneStab,0,200,4,2,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneStab,2,200,4,2,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneStab,0,200,4,2,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneStab,2,200,4,2,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,BoneStab,0,200,4,2,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.5,GasterBlaster,2,$HeartX,0,$HeartX,200,90,0,0,2
0,GetHeartPos,HeartX,HeartY,,,,,,

0.5,BoneStab,1,70,4,80,,,,
0,BoneStab,3,10,4,80,,,,

0,PlatformRepeat,-20,310,30,0,80,100,100
6,BoneStab,0,260,6,2,,,,
6,BoneStab,2,260,6,2,,,,
6,BoneStab,0,260,6,2,,,,
6,BoneStab,2,260,6,2,,,,
10,BoneStab,2,10,0.1,0,,,,
0,BoneStab,0,10,0.1,0,,,,
0.1,BoneStab,2,20,0.1,0,,,,
0,BoneStab,0,20,0.1,0,,,,
0.1,BoneStab,2,30,0.1,0,,,,
0,BoneStab,0,30,0.1,0,,,,
0.1,BoneStab,2,40,0.1,0,,,,
0,BoneStab,0,40,0.1,0,,,,
0.1,BoneStab,2,50,0.1,0,,,,
0,BoneStab,0,50,0.1,0,,,,
0.1,BoneStab,2,60,0.1,0,,,,
0,BoneStab,0,60,0.1,0,,,,
0.1,BoneStab,2,70,0.1,0,,,,
0,BoneStab,0,70,0.1,0,,,,
0.1,BoneStab,2,80,0.1,0,,,,
0,BoneStab,0,80,0.1,0,,,,
0.1,BoneStab,2,90,0.1,0,,,,
0,BoneStab,0,90,0.1,0,,,,
0.1,BoneStab,2,100,0.1,0,,,,
0,BoneStab,0,100,0.1,0,,,,
0.1,BoneStab,2,110,0.1,0,,,,
0,BoneStab,0,110,0.1,0,,,,
0.1,BoneStab,2,120,0.1,0,,,,
0,BoneStab,0,120,0.1,0,,,,
0.1,BoneStab,2,130,0.1,0,,,,
0,BoneStab,0,130,0.1,0,,,,
0.1,BoneStab,2,140,0.1,0,,,,
0,BoneStab,0,140,0.1,0,,,,
0.1,BoneStab,2,150,0.1,0,,,,
